"project_id","job_id","authors","active_authors","entities","commits"
"37393","983179","2","2","14","9"
"35442","884415","3","1","122","125"
"38146","1040005","1","1","168","71"
"45801","1745071","0","0","0","0"
"44686","1658913","2","1","103","39"
"35991","896965","2","1","103","39"
"36146","902239","31","2","615","430"
"34505","842211","18","1","78","220"
"41227","1275755","762","62","5708","10396"
"37117","963087","1","1","30","18"
"34246","825395","20","1","170","186"
"34020","1798705","2","1","2","2"
"46509","1796224","2","1","11","25"
"34012","812398","1","1","98","38"
"36984","956056","77","1","2336","3533"
"14689","845713","3","1","10","27"
"36337","913195","18","1","78","220"
"33500","787881","2","1","19","2"
"36271","909462","2","1","103","39"
"36076","898836","2","1","103","39"
"35962","895405","20","2","78","222"
"42487","1410889","2","1","11","25"
"39823","1800140","1","1","2","1"
"35662","1037347","1","1","2","4"
"36338","913288","17","5","77","218"
"38029","1032869","2","1","103","39"
"35741","1029489","1","1","2","4"
"33405","780415","30","1","57","249"
"41183","1271526","762","63","5706","10395"
"34703","855141","1","1","2","1"
"33743","801199","4","4","32","39"
"2477","829792","3","1","325","3627"
"35289","874461","306","1","405","4870"
"35165","870502","18","1","78","220"
"35703","1036666","1","1","2","4"
"33417","1799039","3","2","78","60"
"35495","885820","285","175","12982","9164"
"36539","925623","2","1","103","39"
"35809","1038022","1","1","2","4"
"33419","782081","6","1","110","87"
"44407","1628609","2","1","103","39"
"39709","1166679","2","1","103","39"
"33359","778113","1","1","3395","6"
"41238","1275296","118","9","11923","20556"
"34261","842414","17","5","77","218"
"43201","1486434","45","2","204","279"
"36522","924900","2","1","103","39"
"37037","958112","2","1","103","39"
"35822","890783","1","1","113","1"
"34825","863365","12","4","2903","3452"
"36659","934178","2","1","103","39"
"34127","818382","1","1","47","28"
"8411","1785073","12","3","126","352"
"35696","1036972","1","1","2","4"
"38134","1039180","2","1","11","25"
"33263","1782438","358","42","3479","2455"
"37351","979925","2","1","103","39"
"36496","921845","2","1","103","39"
"33505","788633","259","32","1148","2972"
"41083","1268711","762","63","5706","10395"
"41963","1345976","1","1","1455","12"
"36764","941714","7","2","118","114"
"34682","854665","1","1","4","10"
"34705","855270","5","5","636","302"
"33800","802712","130","11","2580","3992"
"44993","1688470","2","1","103","39"
"36767","941744","2","1","185","92"
"36770","941773","1","1","17","6"
"44630","1653967","2","1","103","39"
"40159","1212370","2","2","179","3"
"37278","975336","2","1","11","25"
"46381","1785469","2","1","103","39"
"37087","961703","2","1","11","25"
"36583","929750","307","1","491","4925"
"36917","1798190","2","2","156","84"
"35685","1037412","1","1","2","4"
"35513","886061","2","1","103","39"
"35786","1037733","1","1","2","4"
"35542","886680","2","1","103","39"
"33360","778117","5","1","523","470"
"36753","940818","2","1","103","39"
"36034","897933","2","1","103","39"
"34680","854652","1","1","4","10"
"39417","1140397","65","4","233","561"
"38204","1043742","1","1","417","48"
"35183","870741","15","7","540","801"
"29004","1798886","3","2","218","74"
"42616","1799526","10","3","170","224"
"37751","1008326","3","2","154","128"
"36526","925224","1","1","16","2"
"34583","848793","2","1","103","39"
"36192","905824","60","5","186","602"
"45525","1727781","13","4","1019","1290"
"34807","862842","66","6","2069","3010"
"35385","879815","35","9","518","594"
"36757","940891","1","1","23","4"
"34106","816399","2","1","11","25"
"34272","826347","2","1","103","39"
"35680","1036655","1","1","2","4"
"35734","1037945","1","1","2","4"
"34049","813669","3","3","29","113"
"28752","863060","1","1","2","3"
"42950","1457627","2","1","103","39"
"36832","944322","2","1","103","39"
"38867","1091635","2","1","11","25"
"40536","1234255","792","19","11439","15256"
"35963","895421","20","2","78","222"
"36886","948311","2","2","12","2"
"36567","928163","2","1","103","39"
